"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
43248,"LEHB","heliport","Ciudad Sanitaria y Universitaria de Bellvitge Heliport",41.345298767089844,2.107290029525757,35,"EU","ES","ES-CT","Barcelona","no","LEHB",,,,,
29967,"LEHC","small_airport","Huesca/Pirineos Airport",42.0760993958,-0.316666990519,1768,"EU","ES","ES-AR","Monflorite/Alcalá del Obispo","no","LEHC","HSK",,,"https://en.wikipedia.org/wiki/Huesca%E2%80%93Pirineos_Airport",
43264,"LEHE","heliport","Helicsa Heliport",39.07120132446289,-1.8343499898910522,2226,"EU","ES","ES-CM","Albacete","no","LEHE",,,,,
43269,"LEHG","heliport","Hospital General De Catalunya Heliport",41.47359848022461,2.0425000190734863,385,"EU","ES","ES-CT",,"no","LEHG",,,,,
31807,"LEHI","small_airport","Hinojosa del Duque Airport",38.51209,-5.107215,1772,"EU","ES","ES-AN","Hinojosa del Duque","no","LEHI",,,,,
43273,"LEHJ","heliport","Hospital Universitario Joan XXIII Heliport",41.1255989074707,1.23812997341156,75,"EU","ES","ES-CT","Tarragona","no","LEHJ",,,,,
43270,"LEHM","heliport","Hospital General De Manresa Heliport",41.720001220703125,1.840559959411621,962,"EU","ES","ES-CT","Manresa","no","LEHM",,,,,
4013,"LEIB","medium_airport","Ibiza Airport",38.872898101800004,1.3731199502899998,24,"EU","ES","ES-PM","Ibiza","yes","LEIB","IBZ",,,"https://en.wikipedia.org/wiki/Ibiza_Airport",
38691,"LEIG","small_airport","Igualada/Odena Airfield",41.585602,1.65306,1148,"EU","ES","ES-CT","Barcelona","no","LEIG",,,"http://www10.gencat.net/ptop/AppJava/cat/aerotrans/aerodroms/aerodroms/igualada.jsp",,
43275,"LEIU","heliport","Iurreta Heliport",43.18190002441406,-2.646389961242676,422,"EU","ES","ES-PV","Durango","no","LEIU",,,,,
